Brand,Model Name,Model Image,Weight(g),Width(px),Height(px),ROM(MB),RAM(MB),Battery Capacity(mAh),Price(USD)
sony,Sony Xperia Pro,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-5g.jpg,225.1,1644,3840,512000.0,12000.0,4000.0,2316.5
sony,Sony Xperia 10 Plus,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-plus-.jpg,180.0,1080,2520,64000.0,4000.0,3000.0,632.8
sony,Sony Xperia 10,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-.jpg,162.0,1080,2520,64000.0,3000.0,2870.0,316.4
sony,Sony Xperia XA2 Plus,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-plus-.jpg,205.0,1080,2160,32000.0,4000.0,3580.0,271.2
sony,Sony Xperia XZ2 Premium,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-premium.jpg,236.0,2160,3840,64000.0,6000.0,3540.0,519.8
sony,Sony Xperia XZ2 Compact,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-compact-.jpg,168.0,1080,2160,64000.0,4000.0,2870.0,485.9
sony,Sony Xperia XA2 Ultra,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-ultra-.jpg,221.0,1080,1920,32000.0,4000.0,3580.0,293.79999999999995
sony,Sony Xperia XA2,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-.jpg,171.0,1080,1920,32000.0,3000.0,3300.0,225.99999999999997
sony,Sony Xperia L2,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l2-.jpg,178.0,720,1280,32000.0,3000.0,3300.0,158.2
sony,Sony Xperia R1 (Plus),https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-r1.jpg,154.0,720,1280,16000.0,2000.0,2620.0,182.0
sony,Sony Xperia XZ1,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-ofic.jpg,155.0,1080,1920,64000.0,4000.0,2700.0,293.79999999999995
sony,Sony Xperia XA1 Plus,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-plus.jpg,189.0,1080,1920,32000.0,3000.0,3430.0,169.49999999999997
